,guessed_numbers
-4.763726028927789,-4.763999999999921
-4.682761486096192,-4.682999999999894
-4.625488459883968,-4.624999999999875
-4.5762665961092255,-4.575999999999858
-4.400261286742073,-4.3999999999998
-4.233628808305222,-4.233999999999744
-3.972196267503516,-3.9719999999996567
-3.8992523993761186,-3.8989999999996323
-3.5733724125335753,-3.5729999999995234
-3.322822051947335,-3.32299999999944
-3.159029957719791,-3.158999999999385
-3.0990763177086835,-3.098999999999365
-2.806140599854042,-2.8059999999992673
-2.748030737181759,-2.747999999999248
-2.541538842900346,-2.540999999999179
-2.508634417496384,-2.508999999999168
-2.3711012193345162,-2.370999999999122
-2.340698460728927,-2.340999999999112
-2.244383053650173,-2.2439999999990796
-2.101816585407689,-2.101999999999032
-1.8594542418094937,-1.8579999999989507
-1.703851858539415,-1.7039999999988993
-1.4111254090158987,-1.4109999999988014
-1.3347683410392805,-1.334999999998776
-1.333664527930027,-1.3339999999987757
-1.3245242715476113,-1.3239999999987724
-1.2548523111665328,-1.2549999999987493
-1.2365026041791594,-2.472999999999156
-1.225407033014867,-1.2249999999987393
-1.1950755800763533,-1.1949999999987293
-1.1943834124950814,-1.193999999998729
-1.1892666002279793,-1.1889999999987273
-1.1812317235910514,-1.1809999999987246
-1.1744425088382746,-1.1739999999987223
-1.122030890756255,-1.121999999998705
-1.069248421799681,-1.0689999999986872
-1.0075410512462213,-1.0079999999986669
-0.9992253994773268,-0.9989999999986638
-0.8386298072709684,-0.8389999999986104
-0.7822796020375343,-0.7819999999985914
-0.7469554927889134,-0.7469999999985797
-0.7303073558029292,-0.729999999998574
-0.5380479265309526,-0.5379999999985099
-0.5211906413837788,-0.5209999999985042
-0.4992359663258581,-0.49899999999849687
-0.4973205459148826,-0.49799999999849653
-0.48362596422749615,-0.48399999999849186
-0.48252973143643807,-0.4829999999984915
-0.4608765345071445,-0.4609999999984842
-0.4398657447656542,-0.43999999999847716
-0.40468034136326914,-0.4049999999984655
-0.3064760714230268,-0.30699999999843275
-0.2932236788611189,-0.2929999999984281
-0.2925498475923598,-0.2929999999984281
-0.26049126780684273,-0.2609999999984174
-0.21669877794353443,-0.2169999999984027
-0.16902548970746079,-0.16899999999838666
-0.13272932817481675,-4.2469999999997485
-0.13065619745966706,-4.1809999999997265
-0.11178935156204073,-3.576999999999525
-0.09513202534336407,-3.043999999999347
-0.07160469983601114,-4.582999999999861
-0.01339811925823442,-3.4299999999994757
0.03660352600099359,4.685000000003235
0.0828323061821018,1.3250000000021123
0.11500245818520227,0.11500000000170818
0.11689731882649324,3.74100000000292
0.1454724473989305,4.6550000000032234
0.15547048103290595,4.97500000000333
0.18027254734467435,2.884000000002633
0.28486381926566184,0.28500000000176495
0.31901670097658386,0.3190000000017763
0.32308263005685256,0.32300000000177764
0.372238918782991,0.372000000001794
0.4126871142361046,0.4130000000018077
0.42528853619927554,0.42600000000181204
0.45021090588759116,0.45000000000182006
0.4551235416965316,0.4550000000018217
0.576037247359833,0.5760000000018621
0.6784318532796769,0.6780000000018962
0.8120129811269816,0.812000000001941
0.8412089103311744,0.8410000000019506
0.9012637923100719,0.9010000000019707
1.0458228218646766,1.046000000002019
1.093243205790789,1.0930000000020348
1.2841350241359133,1.2840000000020986
1.4256689261707738,1.426000000002146
1.875944833425355,1.8760000000022963
2.1490431315117684,2.1490000000023874
2.4468303254675314,2.447000000002487
2.4597990286556746,2.4600000000024913
2.617823100830038,2.618000000002544
2.812735559944562,2.813000000002609
3.0236612293937366,3.0240000000026797
3.1615546594083384,3.1610000000027263
3.691907240517885,3.6920000000029027
3.704574127284836,3.705000000002908
4.162420491345149,4.16200000000306
4.22718894516392,4.2270000000030805
4.622038748537234,4.622000000003213
