,guessed_numbers
-4.827707772110371,-0.6029999999999996
-4.823339175385692,-0.6029999999999996
-4.500392090426809,-0.28099999999999936
-4.331847390755605,-0.5409999999999996
-4.324681897733424,-4.324999999999775
-4.2866519449612,-0.5359999999999996
-4.149068913266246,-0.25899999999999934
-3.99280001331056,-3.992999999999664
-2.9604988316225658,-2.9599999999993187
-2.9244255806135917,-2.9239999999993067
-2.9244255806135913,-0.7309999999999998
-2.749681014117007,-0.17199999999999926
-2.6123672215667337,-0.6529999999999997
-2.347623791770541,-2.3469999999991145
-2.2814697049668764,-0.5709999999999996
-2.113836964930088,-0.5289999999999996
-2.1130506683806782,-0.03299999999999914
-1.8743728430613382,-0.9369999999999999
-1.5804099644781044,-0.39499999999999946
-1.572417901009934,-0.39299999999999946
-1.4424455703335437,-1.4419999999988118
-1.2968696385108753,-0.08099999999999918
-1.2578315971492553,-0.6289999999999997
-1.1396827213902694,-0.28499999999999936
-0.9662418217650135,-0.966
-0.9629711316690583,-0.963
-0.8665714760636982,-0.8669999999999999
-0.7829177744963921,-0.7829999999999998
-0.781673191672474,-0.7819999999999998
-0.7791177117433308,-0.7789999999985904
-0.688419970550178,-0.04299999999999915
-0.5022515723507586,-0.5029999999984982
-0.45180445281599546,-0.4519999999999995
-0.4414977929136925,-0.8829999999999999
-0.4364346836358094,-0.8729999999999999
-0.4133439834946171,-0.8269999999999998
-0.40405565716226943,-0.40399999999999947
-0.3873551082859039,-0.7749999999999998
-0.372395961572469,-0.7449999999999998
-0.32537987096003285,-0.3249999999984388
-0.32047227411783297,-0.6409999999999997
-0.3019093298439308,-0.3019999999984311
-0.29721160301866933,-0.2969999999999994
-0.2972116030186693,-0.2969999999984294
-0.2720740967075248,-0.016999999999999127
-0.2600454217543676,-0.25999999999999934
-0.23572705258667448,-0.943
-0.21396156955778167,-0.2139999999999993
-0.20668990782965735,-0.8269999999999998
-0.20668990782965732,-3.3069999999994346
-0.12914870694102953,-0.5169999999999996
-0.11694206712605326,-0.11699999999999922
-0.11694206712605325,-1.870999999998955
-0.0939673342657299,-3.0069999999993344
-0.03506373608906577,-0.5609999999999996
-0.024203351074726265,-0.38699999999999946
-0.0017117371971444584,-0.4369999999999995
0.028180202893127726,0.4510000000000014
0.08047251912085807,0.08100000000000085
0.09740593391647523,0.09800000000000098
0.19156950565735265,0.7660000000000016
0.1941854962271432,0.7770000000000015
0.2010850157637769,0.20100000000000096
0.20540216060492422,0.8220000000000016
0.23446695112707283,0.9380000000000017
0.2701763092513013,0.27000000000175994
0.3261306167518123,0.3260000000000012
0.3340918626964945,0.3340000000017813
0.3449918320462235,0.3450000000000011
0.3471848212494,0.3470000000000013
0.35257139391504744,0.3530000000017877
0.3549336694093075,0.3550000000000013
0.40299320925218973,0.40300000000000136
0.41803798504834844,0.41800000000000126
0.4427215548229364,0.8850000000000016
0.4444162614802756,0.8890000000000016
0.46754828843055674,0.9350000000000018
0.47114973702833973,0.4710000000000014
0.5228469819845829,0.5230000000000015
0.5915128615614784,0.5910000000000015
0.6359310044746032,0.6360000000000015
0.6883572159583435,0.04300000000000104
0.744422553267658,0.7440000000000015
0.7802648249831403,0.7800000000000016
0.8923485771883266,0.8920000000019677
1.2837249237890882,0.32100000000000106
1.2980730880159115,0.6490000000000014
1.3476566903784564,0.3370000000000011
1.491327787280909,0.3730000000000011
1.7880704006408488,0.4470000000000014
2.3042523563870487,0.009000000000000785
2.353390868745709,2.353000000002456
2.3533908687457092,0.5880000000000014
2.4422638956272653,0.6110000000000015
2.4475632926844026,0.1530000000000009
2.8289562482233546,0.7070000000000016
3.233323883958665,0.8080000000000016
3.4979155244689597,0.8740000000000017
3.6341679311411728,0.9090000000000016
3.8676652137822867,0.9670000000000019
4.243956534558199,0.2660000000000011
4.637939019560401,0.29000000000000115
4.873149725398884,0.6090000000000013
4.904994021259498,0.6130000000000013
4.911389926171163,0.30700000000000127
