,guessed_numbers
0.0036621718276210746,3.75
0.0041310083139466935,4.23
0.025044289488988736,0.401
0.05323691896046345,3.407
0.07702264241952045,4.93
0.07868685028442407,1.2590000000000001
0.09323635394921037,1.492
0.11613836635543462,3.717
0.13465230425732344,4.309
0.14255726973699162,2.281
0.145841167801814,4.667
0.1528278913701176,2.446
0.180191389215702,2.883
0.18298869915359894,0.183
0.2225134843532831,0.223
0.2270092175138485,0.227
0.2313848421601547,0.231
0.2584972395953711,0.258
0.2939912382357335,0.294
0.2988411683528003,0.299
0.30137759702022626,0.302
0.31108669188945526,0.311
0.3224904156721882,0.322
0.32791574193863193,0.328
0.3330627386835138,0.333
0.3800622989721237,0.38
0.38220206544357266,0.382
0.4163616972404627,0.41600000000000004
0.44874825816005465,0.449
0.4619627587938918,0.462
0.4857578247095068,0.486
0.4869938541364493,0.487
0.4942256382188464,0.494
0.5048348829554109,0.505
0.5554216585080382,0.556
0.6048065880668434,0.605
0.6145787934475895,0.614
0.6304522970554316,0.631
0.6443474318811695,0.644
0.6470755593415629,0.647
0.6694871682403505,0.67
0.7066371024457163,0.707
0.7446502996986084,0.743
0.773705554322842,0.774
0.8268828391734784,0.8270000000000001
0.859519934950051,0.859
0.8710484073951008,0.871
0.9387328163079212,0.9390000000000001
0.9507481348066001,0.9510000000000001
0.9661776277934753,0.966
1.0697889497986453,1.07
1.116059404701915,1.116
1.1232740871334261,1.123
1.160660174924529,1.161
1.1687305436325697,1.169
1.1967407308510212,1.197
1.1997107309301103,1.199
1.2089192352790312,1.209
1.2182986672871765,1.218
1.2827807735149999,1.283
1.4025668533026474,1.403
1.4199739738987076,1.42
1.472451484043302,1.472
1.4848365484939312,1.485
1.49347899514071,1.494
1.5179505796366781,1.518
1.5743306175845173,1.574
2.165241037129357,2.165
2.2723465586272567,2.273
2.2878942066672314,2.2880000000000003
2.490726361754148,2.491
2.5077024951897964,2.508
2.834453474816299,2.834
3.0289357512768555,3.029
3.035869030831199,3.036
3.053695330893773,3.053
3.441006979259562,3.4410000000000003
3.448700635225736,3.4490000000000003
3.4750851944267684,3.475
3.5570548287707595,3.557
3.756052100943874,3.7560000000000002
3.761353027507084,3.762
3.761680462263989,3.762
3.8435750945259266,3.844
3.849306928451437,3.849
3.8651824674447095,3.865
3.9173814264576405,3.9170000000000003
3.949567228154804,3.95
4.0434947997162505,4.0440000000000005
4.074585122235128,4.075
4.096512518254714,4.097
4.102822869134088,4.103
4.225220333072524,4.225
4.314664472108582,4.315
4.41652525668744,4.417
4.453454454443106,4.454
4.531985279698317,4.532
4.571100932187146,4.571
4.8489555459205915,4.849
4.998062211861549,4.998
